"","make","transmission","engine_displacement_cm3","power_cv","power_ice_kw","avg_wltp_consumption_l_100km","avg_wltp_emissions_gCO2_km","length_mm","width_mm","height_mm","gross_vehicle_weight_rating_kg","total_seating","fuel_economy_index","electric_consumption_kwh_100km","battery_capacity_kwh","vehicle_type","engine"
"1633","Citroën","A",0,0,0,NA,0,4959,1920,1899,3100,3,"Sin clasificación",29.49,75,"Ligeros","Eléctricos"
"1634","Citroën","A",0,0,0,NA,0,5309,1920,1899,3100,3,"Sin clasificación",29.49,75,"Ligeros","Eléctricos"
"1635","Citroën","A",0,0,0,NA,0,4959,1920,1940,2865,3,"Sin clasificación",28.16,50,"Ligeros","Eléctricos"
"1636","Citroën","A",0,0,0,NA,0,4959,1920,1940,3015,3,"Sin clasificación",29.49,75,"Ligeros","Eléctricos"
"1637","Citroën","A",0,0,0,NA,0,5309,1920,1940,3015,3,"Sin clasificación",29.49,75,"Ligeros","Eléctricos"
"1638","Citroën","A",0,0,0,NA,0,4609,1920,1940,2865,3,"Sin clasificación",28.16,50,"Ligeros","Eléctricos"
"1639","Citroën","A",0,0,0,NA,0,4959,1920,1899,3100,9,"Sin clasificación",29.49,75,"Ligeros","Eléctricos"
"1640","Citroën","A",0,0,0,NA,0,4959,1920,1899,3015,9,"Sin clasificación",28.16,50,"Ligeros","Eléctricos"
"1641","Citroën","A",0,0,0,NA,0,5309,1920,1899,3100,9,"Sin clasificación",29.49,75,"Ligeros","Eléctricos"
"1642","Citroën","A",0,0,0,NA,0,4609,1920,1910,2925,9,"Sin clasificación",28.16,50,"Ligeros","Eléctricos"
"1643","Citroën","A",0,0,0,NA,0,4959,1920,1899,2950,8,"Sin clasificación",28.16,50,"Ligeros","Eléctricos"
"1644","Citroën","A",0,0,0,NA,0,4959,1920,1899,3100,8,"Sin clasificación",29.49,75,"Ligeros","Eléctricos"
"1645","Citroën","A",0,0,0,NA,0,4959,1920,1899,3100,8,"Sin clasificación",29.49,75,"Ligeros","Eléctricos"
"1646","DAYANG","SC",0,0,0,NA,0,1840,720,1080,243,2,"Sin clasificación",4.1,3.5,"Ligeros","Eléctricos"
"1647","DAYI MOTOR","SC",0,0,0,NA,0,1940,870,1340,296,2,"Sin clasificación",3.7,7.2,"Ligeros","Eléctricos"
"1648","DAYI MOTOR","SC",0,0,0,NA,0,1940,870,1340,296,2,"Sin clasificación",8.6,120,"Ligeros","Eléctricos"
"1649","DAYI MOTOR","SC",0,0,0,NA,0,2180,780,1270,325,2,"Sin clasificación",7.2,100,"Ligeros","Eléctricos"
"1650","DFSK","A",1499,145.38,107,11,245,4680,1845,1715,2085,7,"G",NA,NA,"Ligeros","Fosiles"
"1651","DFSK","SC",0,0,0,NA,0,4500,1680,1985,2600,2,"Sin clasificación",27.4,38,"Ligeros","Eléctricos"
"1652","DFSK","SC",0,0,0,NA,0,4500,1680,1985,2600,4,"Sin clasificación",27.4,38,"Ligeros","Eléctricos"
"1653","DFSK","A",1499,137.23,101,12.5,291,4685,1865,1645,2065,5,"G",NA,NA,"Ligeros","Fosiles"
"1654","DFSK","A",0,0,0,NA,0,4280,1560,1850,1865,2,"Sin clasificación",140,15,"Ligeros","Eléctricos"
"1655","DFSK","A",0,0,0,NA,0,4280,1560,1810,1865,2,"Sin clasificación",140,15,"Pesados","Eléctricos"
"1656","DFSK","A",0,0,0,NA,0,4280,1560,1810,1865,2,"Sin clasificación",140,15,"Pesados","Eléctricos"
"1657","DFSK","A",0,0,0,NA,0,4160,1560,1810,1775,4,"Sin clasificación",140,15,"Pesados","Eléctricos"
"1658","DFSK","A",0,0,0,NA,0,4160,1560,1810,1775,4,"Sin clasificación",140,15,"Pesados","Eléctricos"
"1659","DFSK","SC",0,0,0,NA,0,4385,1850,1650,2065,5,"Sin clasificación",16,54,"Ligeros","Eléctricos"
"1660","DFSK","SC",0,0,0,NA,0,4385,1850,1650,2065,5,"Sin clasificación",16,54,"Ligeros","Eléctricos"
"1661","DOFERN","A",0,0,0,NA,0,1975,760,1330,313,2,"Sin clasificación",5,5,"Ligeros","Eléctricos"
"1662","DOFERN","A",0,0,0,NA,0,1975,760,1330,322,2,"Sin clasificación",5,5,"Ligeros","Eléctricos"
"1663","DONGMA","SC",0,0,0,NA,0,1760,700,970,309,2,"Sin clasificación",5.4,75,"Ligeros","Eléctricos"
"1664","DONGMA","SC",0,0,0,NA,0,2050,695,1120,309,2,"Sin clasificación",5.4,75,"Ligeros","Eléctricos"
"1665","DS","M",1499,101.9,75,4.85,126,4118,1791,1536,1695,5,"D",NA,NA,"Ligeros","Fosiles"
"1666","DS","M",1499,101.9,75,4.6,121,4118,1791,1536,1695,5,"C",NA,NA,"Ligeros","Fosiles"
"1667","DS","A",1499,130.43,96,4.8,127,4118,1791,1536,1735,5,"D",NA,NA,"Ligeros","Fosiles"
"1668","DS","A",1499,130.43,96,4.8,127,4118,1791,1536,1735,5,"D",NA,NA,"Ligeros","Fosiles"
"1669","DS","A",0,0,0,NA,0,4118,1791,1536,1975,5,"Sin clasificación",0,50,"Ligeros","Eléctricos"
"1670","DS","M",1199,101.9,75,5.75,130,4118,1791,1536,1650,5,"C",NA,NA,"Ligeros","Fosiles"
"1671","DS","A",1199,101.9,75,6.35,144,4118,1791,1536,1700,5,"D",NA,NA,"Ligeros","Fosiles"
"1672","DS","A",1199,156.25,115,6.45,145,4118,1791,1536,1705,5,"D",NA,NA,"Ligeros","Fosiles"
"1673","DS","A",1499,130.43,96,4.8,128,4400,1830,1470,2000,5,"C",NA,NA,"Ligeros","Fosiles"
"1674","DS","A",1598,180.71,133,1.35,31,4400,1830,1470,2200,5,"A",NA,NA,"Ligeros","Híbridos"
"1675","DS","A",1199,130.43,96,6.1,135,4400,1830,1470,2010,5,"B",NA,NA,"Ligeros","Fosiles"
"1676","DS","A",1598,180.71,133,6.5,148,4400,1830,1470,1980,5,"C",NA,NA,"Ligeros","Fosiles"
"1677","DS","A",1598,224.18,165,6.7,150,4400,1830,1470,1990,5,"C",NA,NA,"Ligeros","Fosiles"
"1678","DS","A",1199,130.43,96,5.4,142,4595,2098,1631,2050,5,"B",NA,NA,"Ligeros","Fosiles"
"1679","DS","A",1199,130.43,96,5.4,142,4595,2098,1631,2050,5,"B",NA,NA,"Ligeros","Fosiles"
"1680","DS","M",1499,129.08,95,5.6,146,4595,2098,1631,2030,5,"B",NA,NA,"Ligeros","Fosiles"
"1681","DS","A",1997,176.63,130,6.55,164,4595,2098,1631,2135,5,"C",NA,NA,"Ligeros","Fosiles"
"1682","DS","A",1598,180.71,133,1.5,34,4595,2098,1631,2350,5,"A",NA,NA,"Ligeros","Híbridos"
"1683","DS","A",1598,199.73,147,1.45,33,4595,2098,1631,2400,5,"A",NA,NA,"Ligeros","Híbridos"
"1684","DS","A",1199,130.43,96,6.8,156,4595,2098,1631,2010,5,"A",NA,NA,"Ligeros","Fosiles"
"1685","DS","M",1199,130.43,96,6.42,145,4595,2098,1631,1985,5,"A",NA,NA,"Ligeros","Fosiles"
"1686","DS","A",1598,180.71,133,7.25,164,4595,2098,1631,2050,5,"B",NA,NA,"Ligeros","Fosiles"
"1687","DS","A",1598,224.18,165,7.4,167,4595,2098,1631,2050,5,"B",NA,NA,"Ligeros","Fosiles"
"1688","DS","A",1598,224.18,165,1.55,35,4934,1855,1459,2319,5,"A",NA,NA,"Ligeros","Híbridos"
"1689","DS","A",1598,224.18,165,6.85,154,4934,1855,1459,2075,5,"B",NA,NA,"Ligeros","Fosiles"
"1690","Dacia","M",1598,101.9,75,7.57,171,4363,1751,1804,1794,5,"E",NA,NA,"Ligeros","Fosiles"
"1691","Dacia","M",1598,101.9,75,7.57,171,4390,1767,1804,1802,5,"E",NA,NA,"Ligeros","Fosiles"
"1692","Dacia","M",1598,108.7,80,7.87,158,4363,1751,1804,1841,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1693","Dacia","M",1598,108.7,80,7.87,158,4390,1767,1804,1853,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1694","Dacia","M",1598,108.7,80,0,0,4363,1751,1846,1958,4,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1695","Dacia","M",1332,101.9,75,7.01,159,4390,1767,1846,1847,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1696","Dacia","M",1332,101.9,75,7.01,159,4363,1751,1846,1840,5,"D",NA,NA,"Ligeros","Fosiles"
"1697","Dacia","M",1332,130.43,96,7.04,154,4363,1751,1846,1840,5,"D",NA,NA,"Ligeros","Fosiles"
"1698","Dacia","M",1332,130.43,96,7.04,160,4390,1767,1846,1840,5,"D",NA,NA,"Ligeros","Fosiles"
"1699","Dacia","M",1332,130.43,96,7.04,160,4363,1751,1846,1840,5,"D",NA,NA,"Ligeros","Fosiles"
"1700","Dacia","M",1332,130.43,96,7.04,160,4390,1767,1846,1847,5,"D",NA,NA,"Ligeros","Fosiles"
"1701","Dacia","M",1332,130.43,96,7.04,160,4390,1767,1846,1847,5,"D",NA,NA,"Ligeros","Fosiles"
"1702","Dacia","M",1332,130.43,96,7.04,154,4390,1751,1846,1847,5,"D",NA,NA,"Ligeros","Fosiles"
"1703","Dacia","M",1332,130.43,96,7.05,160,4363,1751,1846,1840,5,"D",NA,NA,"Ligeros","Fosiles"
"1704","Dacia","M",1461,95.11,70,5.37,141,4390,1767,1846,1907,5,"D",NA,NA,"Ligeros","Fosiles"
"1705","Dacia","M",1461,74.73,55,5.33,140,4363,1751,1804,1895,5,"D",NA,NA,"Ligeros","Fosiles"
"1706","Dacia","M",1461,95.11,70,5.37,141,4390,1767,1804,1907,5,"D",NA,NA,"Ligeros","Fosiles"
"1707","Dacia","M",1461,95.11,70,5.12,134,4390,1767,1846,1907,5,"D",NA,NA,"Ligeros","Fosiles"
"1708","Dacia","M",1461,95.11,70,5.37,141,4363,1751,1846,1899,5,"D",NA,NA,"Ligeros","Fosiles"
"1709","Dacia","M",1461,95.11,70,5.25,138,4363,1751,1846,2011,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1710","Dacia","M",1461,95.11,70,5.37,141,4363,1751,1846,1899,5,"D",NA,NA,"Ligeros","Fosiles"
"1711","Dacia","M",1461,95.11,70,5.12,134,4363,1751,1846,1899,5,"D",NA,NA,"Ligeros","Fosiles"
"1712","Dacia","M",1461,95.11,70,5.37,141,4363,1751,1804,1899,5,"D",NA,NA,"Ligeros","Fosiles"
"1713","Dacia","M",1461,95.11,70,5.37,141,4363,1751,1846,1899,5,"D",NA,NA,"Ligeros","Fosiles"
"1714","Dacia","M",1598,108.7,80,0,0,4363,1751,1846,1965,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1715","Dacia","M",1461,95.11,70,5.23,138,4363,1751,1846,1897,2,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1716","Dacia","M",1598,114.13,84,7.9,178,4341,1804,1687,1712,5,"E",NA,NA,"Ligeros","Fosiles"
"1717","Dacia","M",1598,114.13,84,7.9,178,4341,1804,1687,1712,5,"E",NA,NA,"Ligeros","Fosiles"
"1718","Dacia","M",1598,114.13,84,7.9,178,4341,1804,1687,1712,5,"E",NA,NA,"Ligeros","Fosiles"
"1719","Dacia","M",1598,114.13,84,7.9,178,4341,1804,1687,1712,5,"E",NA,NA,"Ligeros","Fosiles"
"1720","Dacia","M",1598,108.7,80,8.06,163,4341,1804,1687,1734,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1721","Dacia","M",1598,114.13,84,8.06,163,4341,1804,1687,1734,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1722","Dacia","M",1598,114.13,84,8.06,163,4341,1804,1687,1734,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1723","Dacia","M",1598,114.13,84,7.9,178,4341,1804,1687,1712,5,"E",NA,NA,"Ligeros","Fosiles"
"1724","Dacia","M",1598,114.13,84,7.9,178,4341,1804,1687,1712,5,"E",NA,NA,"Ligeros","Fosiles"
"1725","Dacia","M",1598,114.13,84,8.4,190,4341,1804,1678,1809,5,"F",NA,NA,"Ligeros","Fosiles"
"1726","Dacia","M",1598,114.13,84,8.4,190,4341,1804,1678,1809,5,"F",NA,NA,"Ligeros","Fosiles"
"1727","Dacia","M",1598,114.13,84,8.4,190,4341,1804,1678,1809,5,"F",NA,NA,"Ligeros","Fosiles"
"1728","Dacia","M",1598,114.13,84,8.4,190,4341,1804,1678,1809,5,"F",NA,NA,"Ligeros","Fosiles"
"1729","Dacia","M",1461,115.49,85,5,131,4341,1804,1687,1847,5,"C",NA,NA,"Ligeros","Fosiles"
"1730","Dacia","M",1461,115.49,85,5,131,4341,1804,1687,1855,5,"C",NA,NA,"Ligeros","Fosiles"
"1731","Dacia","M",1461,115.49,85,5,131,4341,1804,1687,1855,5,"C",NA,NA,"Ligeros","Fosiles"
"1732","Dacia","M",1461,115.49,85,5.52,144,4341,1804,1678,1952,5,"D",NA,NA,"Ligeros","Fosiles"
"1733","Dacia","M",1332,149.46,110,7,159,4341,1804,1687,1762,5,"D",NA,NA,"Ligeros","Fosiles"
"1734","Dacia","M",1332,149.46,110,6.64,151,4341,1804,1687,1767,5,"D",NA,NA,"Ligeros","Fosiles"
"1735","Dacia","M",1332,149.46,110,6.64,151,4341,1804,1687,1762,5,"D",NA,NA,"Ligeros","Fosiles"
"1736","Dacia","M",1332,149.46,110,7,159,4341,1804,1687,1762,5,"D",NA,NA,"Ligeros","Fosiles"
"1737","Dacia","M",1332,130.43,96,7,159,4341,1804,1687,1762,5,"D",NA,NA,"Ligeros","Fosiles"
"1738","Dacia","M",1332,130.43,96,7,159,4341,1804,1687,1762,5,"D",NA,NA,"Ligeros","Fosiles"
"1739","Dacia","M",1332,130.43,96,6.64,159,4341,1804,1687,1762,5,"D",NA,NA,"Ligeros","Fosiles"
"1740","Dacia","M",1332,130.43,96,6.64,159,4341,1804,1687,1762,5,"D",NA,NA,"Ligeros","Fosiles"
"1741","Dacia","M",1332,130.43,96,6.64,151,4341,1804,1687,1762,5,"D",NA,NA,"Ligeros","Fosiles"
"1742","Dacia","M",1332,130.43,96,6.34,144,4341,1804,1687,1760,5,"C",NA,NA,"Ligeros","Fosiles"
"1743","Dacia","M",1332,130.43,96,6.34,144,4341,1804,1687,1767,5,"C",NA,NA,"Ligeros","Fosiles"
"1744","Dacia","M",1332,130.43,96,6.34,144,4341,1804,1687,1767,5,"C",NA,NA,"Ligeros","Fosiles"
"1745","Dacia","M",999,100.54,74,6.29,142,4341,1804,1687,1725,5,"C",NA,NA,"Ligeros","Fosiles"
"1746","Dacia","M",999,100.54,74,6.29,142,4341,1804,1687,1725,5,"C",NA,NA,"Ligeros","Fosiles"
"1747","Dacia","M",999,100.54,74,6.43,129,4341,1804,1687,1771,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1748","Dacia","M",999,100.54,74,6.5,131,4341,1804,1687,1755,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1749","Dacia","M",999,100.54,74,6.5,131,4341,1804,1687,1755,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1750","Dacia","M",999,100.54,74,6.43,129,4341,1804,1687,1771,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1751","Dacia","M",999,100.54,74,6.5,131,4341,1804,1687,1755,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1752","Dacia","M",999,100.54,74,6.55,148,4341,1804,1687,1725,5,"C",NA,NA,"Ligeros","Fosiles"
"1753","Dacia","M",999,100.54,74,6.55,148,4341,1804,1687,1725,5,"C",NA,NA,"Ligeros","Fosiles"
"1754","Dacia","M",999,100.54,74,6.55,148,4341,1804,1687,1725,5,"C",NA,NA,"Ligeros","Fosiles"
"1755","Dacia","M",999,91.03,67,6.22,141,4341,1804,1687,1728,5,"C",NA,NA,"Ligeros","Fosiles"
"1756","Dacia","M",999,91.03,67,6.22,141,4341,1804,1687,1734,5,"C",NA,NA,"Ligeros","Fosiles"
"1757","Dacia","M",1461,95.11,70,5,131,4341,1804,1687,1840,5,"C",NA,NA,"Ligeros","Fosiles"
"1758","Dacia","M",1461,95.11,70,5.32,140,4341,1804,1687,1840,5,"D",NA,NA,"Ligeros","Fosiles"
"1759","Dacia","M",1461,95.11,70,5.32,140,4341,1804,1687,1840,5,"D",NA,NA,"Ligeros","Fosiles"
"1760","Dacia","M",1461,115.49,85,5,131,4341,1804,1687,1848,5,"C",NA,NA,"Ligeros","Fosiles"
"1761","Dacia","M",1461,115.49,85,5,131,4341,1804,1687,1848,5,"C",NA,NA,"Ligeros","Fosiles"
"1762","Dacia","M",1461,115.49,85,5,131,4341,1804,1687,1848,5,"C",NA,NA,"Ligeros","Fosiles"
"1763","Dacia","M",1461,115.49,85,5,131,4341,1804,1687,1848,5,"C",NA,NA,"Ligeros","Fosiles"
"1764","Dacia","M",1461,115.49,85,5,131,4341,1804,1687,1848,5,"C",NA,NA,"Ligeros","Fosiles"
"1765","Dacia","M",1461,115.49,85,5,131,4341,1804,1687,1848,5,"C",NA,NA,"Ligeros","Fosiles"
"1766","Dacia","M",1461,115.49,85,5,131,4341,1804,1687,1848,5,"C",NA,NA,"Ligeros","Fosiles"
"1767","Dacia","M",1461,115.49,85,5,131,4341,1804,1687,1847,5,"C",NA,NA,"Ligeros","Fosiles"
"1768","Dacia","M",1461,115.49,85,5,131,4341,1804,1687,1855,5,"C",NA,NA,"Ligeros","Fosiles"
"1769","Dacia","M",1461,115.49,85,5,131,4341,1804,1687,1847,5,"C",NA,NA,"Ligeros","Fosiles"
"1770","Dacia","M",1461,115.49,85,5.32,140,4341,1804,1687,1848,5,"D",NA,NA,"Ligeros","Fosiles"
"1771","Dacia","M",1461,115.49,85,5.32,140,4341,1804,1687,1848,5,"D",NA,NA,"Ligeros","Fosiles"
"1772","Dacia","M",1461,115.49,85,5.6,147,4341,1804,1687,1933,5,"D",NA,NA,"Ligeros","Fosiles"
"1773","Dacia","M",1461,115.49,85,5.6,147,4341,1804,1687,1933,5,"D",NA,NA,"Ligeros","Fosiles"
"1774","Dacia","M",1461,115.49,85,5.6,147,4341,1804,1687,1933,5,"D",NA,NA,"Ligeros","Fosiles"
"1775","Dacia","M",1461,115.49,85,5.52,144,4341,1804,1678,1952,5,"D",NA,NA,"Ligeros","Fosiles"
"1776","Dacia","M",1461,115.49,85,5.52,144,4341,1804,1678,1952,5,"D",NA,NA,"Ligeros","Fosiles"
"1777","Dacia","M",1461,115.49,85,5.7,150,4341,1804,1678,1933,5,"E",NA,NA,"Ligeros","Fosiles"
"1778","Dacia","M",1461,115.49,85,5.7,150,4341,1804,1687,1933,5,"E",NA,NA,"Ligeros","Fosiles"
"1779","Dacia","M",1461,115.49,85,5.7,150,4341,1804,1687,1933,5,"E",NA,NA,"Ligeros","Fosiles"
"1780","Dacia","M",1598,101.9,75,7.32,165,4498,1751,1661,1788,5,"D",NA,NA,"Ligeros","Fosiles"
"1781","Dacia","M",1598,101.9,75,7.32,165,4522,1767,1661,1796,5,"D",NA,NA,"Ligeros","Fosiles"
"1782","Dacia","M",1598,101.9,75,7.05,143,4498,1751,1714,1823,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1783","Dacia","M",1598,108.7,80,7.63,156,4498,1751,1661,1823,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1784","Dacia","M",1598,101.9,75,7.63,156,4522,1767,1714,1836,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1785","Dacia","M",1598,101.9,75,7.05,143,4522,1767,1714,1836,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1786","Dacia","M",1598,108.7,80,7.05,143,4498,1751,1714,1823,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1787","Dacia","M",1598,108.7,80,7.05,143,4522,1767,1714,1836,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1788","Dacia","M",1332,130.43,96,6.86,156,4498,1733,1714,1852,5,"D",NA,NA,"Ligeros","Fosiles"
"1789","Dacia","M",1332,130.43,96,7.35,156,4498,1751,1661,1852,5,"D",NA,NA,"Ligeros","Fosiles"
"1790","Dacia","M",1332,130.43,96,6.86,156,4522,1767,1714,1860,5,"D",NA,NA,"Ligeros","Fosiles"
"1791","Dacia","M",1332,130.43,96,6.86,156,4522,1767,1714,1878,7,"D",NA,NA,"Ligeros","Fosiles"
"1792","Dacia","M",1332,130.43,96,6.86,156,4522,1767,1714,1878,7,"D",NA,NA,"Ligeros","Fosiles"
"1793","Dacia","M",1332,101.9,75,7.05,143,4498,1751,1714,1852,5,"D",NA,NA,"Ligeros","Fosiles"
"1794","Dacia","M",1332,130.43,96,6.64,151,4498,1751,1714,1852,5,"C",NA,NA,"Ligeros","Fosiles"
"1795","Dacia","M",1332,130.43,96,6.64,151,4522,1767,1714,1860,5,"C",NA,NA,"Ligeros","Fosiles"
"1796","Dacia","M",1332,130.43,96,6.64,151,4522,1767,1714,1860,5,"C",NA,NA,"Ligeros","Fosiles"
"1797","Dacia","M",1332,130.43,96,6.64,151,4522,1767,1714,1860,5,"C",NA,NA,"Ligeros","Fosiles"
"1798","Dacia","M",1461,95.11,70,4.9,129,4498,1751,1714,1901,5,"C",NA,NA,"Ligeros","Fosiles"
"1799","Dacia","M",1461,115.49,85,4.9,129,4498,1751,1714,1901,5,"C",NA,NA,"Ligeros","Fosiles"
"1800","Dacia","M",1461,115.49,85,4.9,129,4522,1767,1714,1908,5,"C",NA,NA,"Ligeros","Fosiles"
"1801","Dacia","M",1461,95.11,70,5.18,136,4498,1751,1661,1901,5,"D",NA,NA,"Ligeros","Fosiles"
"1802","Dacia","M",1461,115.49,85,5.18,136,4498,1751,1661,1901,5,"D",NA,NA,"Ligeros","Fosiles"
"1803","Dacia","M",1461,115.49,85,5.18,136,4522,1767,1661,1908,5,"C",NA,NA,"Ligeros","Fosiles"
"1804","Dacia","M",1461,115.49,85,5.18,136,4522,1767,1714,1908,5,"C",NA,NA,"Ligeros","Fosiles"
"1805","Dacia","M",1598,101.9,75,7.32,165,4498,1751,1661,1834,7,"D",NA,NA,"Ligeros","Fosiles"
"1806","Dacia","M",1598,101.9,75,7.32,165,4522,1767,1661,1842,7,"D",NA,NA,"Ligeros","Fosiles"
"1807","Dacia","M",1598,101.9,75,7.05,143,4498,1751,1714,1869,7,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1808","Dacia","M",1598,108.7,80,7.63,156,4498,1751,1661,1869,7,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1809","Dacia","M",1598,101.9,75,7.63,156,4498,1751,1661,1869,7,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1810","Dacia","M",1598,101.9,75,7.05,143,4522,1767,1714,1882,7,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1811","Dacia","M",1598,108.7,80,7.05,143,4498,1751,1714,1869,7,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1812","Dacia","M",1598,108.7,80,7.05,143,4522,1767,1714,1836,7,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1813","Dacia","M",1332,130.43,96,7.35,156,4498,1751,1661,1870,7,"D",NA,NA,"Ligeros","Fosiles"
"1814","Dacia","M",1332,101.9,75,6.64,151,4363,1751,1714,1870,7,"D",NA,NA,"Ligeros","Fosiles"
"1815","Dacia","M",1332,130.43,96,6.64,151,4498,1751,1714,1870,7,"C",NA,NA,"Ligeros","Fosiles"
"1816","Dacia","M",1332,130.43,96,6.64,151,4522,1767,1714,1878,7,"C",NA,NA,"Ligeros","Fosiles"
"1817","Dacia","M",1461,95.11,70,4.9,129,4498,1751,1714,1958,7,"C",NA,NA,"Ligeros","Fosiles"
"1818","Dacia","M",1461,115.49,85,4.9,129,4522,1767,1714,1965,7,"C",NA,NA,"Ligeros","Fosiles"
"1819","Dacia","M",1461,115.49,85,4.9,129,4498,1751,1714,1958,7,"C",NA,NA,"Ligeros","Fosiles"
"1820","Dacia","M",1461,95.11,70,5.18,136,4498,1751,1661,1958,7,"D",NA,NA,"Ligeros","Fosiles"
"1821","Dacia","M",1461,115.49,85,5.18,136,4498,1751,1661,1958,7,"D",NA,NA,"Ligeros","Fosiles"
"1822","Dacia","M",1461,115.49,85,5.18,136,4498,1733,1714,1958,7,"D",NA,NA,"Ligeros","Fosiles"
"1823","Dacia","M",1461,115.49,85,5.18,136,4522,1767,1661,1965,7,"C",NA,NA,"Ligeros","Fosiles"
"1824","Dacia","M",1461,95.11,70,4.89,128,4498,1751,1714,1909,5,"C",NA,NA,"Ligeros","Fosiles"
"1825","Dacia","M",1461,95.11,70,4.89,128,4498,1751,1714,1981,7,"C",NA,NA,"Ligeros","Fosiles"
"1826","Dacia","M",1461,115.49,85,4.89,128,4498,1751,1714,1909,5,"C",NA,NA,"Ligeros","Fosiles"
"1827","Dacia","M",1461,115.49,85,4.89,128,4498,1751,1714,1916,5,"C",NA,NA,"Ligeros","Fosiles"
"1828","Dacia","M",1461,115.49,85,4.89,128,4498,1751,1714,1981,7,"C",NA,NA,"Ligeros","Fosiles"
"1829","Dacia","M",1461,115.49,85,4.89,128,4522,1767,1714,1988,7,"C",NA,NA,"Ligeros","Fosiles"
"1830","Dacia","M",999,100.54,74,5.83,119,4494,1733,1591,1626,7,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1831","Dacia","M",999,100.54,74,5.83,119,4528,1762,1591,1643,7,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1832","Dacia","M",999,73.37,54,5.86,132,4494,1733,1591,1557,5,"B",NA,NA,"Ligeros","Fosiles"
"1833","Dacia","M",999,73.37,54,6.29,142,4494,1733,1550,1554,5,"C",NA,NA,"Ligeros","Fosiles"
"1834","Dacia","M",999,73.37,54,6.3,142,4494,1733,1518,1554,5,"C",NA,NA,"Ligeros","Fosiles"
"1835","Dacia","M",999,73.37,54,6.12,138,4494,1733,1591,1557,5,"C",NA,NA,"Ligeros","Fosiles"
"1836","Dacia","M",1461,95.11,70,4.57,120,4494,1733,1591,1695,5,"C",NA,NA,"Ligeros","Fosiles"
"1837","Dacia","M",1461,95.11,70,4.45,117,4494,1733,1591,1695,5,"B",NA,NA,"Ligeros","Fosiles"
"1838","Dacia","M",1461,95.11,70,4.57,120,4494,1733,1550,1695,5,"C",NA,NA,"Ligeros","Fosiles"
"1839","Dacia","M",1461,95.11,70,4.74,125,4528,1762,1550,1716,5,"C",NA,NA,"Ligeros","Fosiles"
"1840","Dacia","M",1461,95.11,70,4.8,126,4528,1762,1591,1716,5,"C",NA,NA,"Ligeros","Fosiles"
"1841","Dacia","M",1465,95.11,70,4.8,126,4528,1762,1591,1716,5,"C",NA,NA,"Ligeros","Fosiles"
"1842","Dacia","M",1461,95.11,70,4.8,126,4528,1762,1591,1716,5,"C",NA,NA,"Ligeros","Fosiles"
"1843","Dacia","M",999,89.67,66,5.81,131,4494,1733,1591,1589,5,"B",NA,NA,"Ligeros","Fosiles"
"1844","Dacia","M",898,89.67,66,6.26,142,4494,1733,1591,1590,5,"C",NA,NA,"Ligeros","Fosiles"
"1845","Dacia","M",898,89.67,66,6.3,142,4494,1733,1550,1586,5,"C",NA,NA,"Ligeros","Fosiles"
"1846","Dacia","M",898,89.67,66,6.56,148,4528,1762,1550,1605,5,"C",NA,NA,"Ligeros","Fosiles"
"1847","Dacia","M",898,89.67,66,6.56,148,4528,1762,1550,1605,5,"C",NA,NA,"Ligeros","Fosiles"
"1848","Dacia","M",898,89.67,66,6.3,125,4494,1733,1550,1621,5,"Sin clasificación",NA,NA,"Ligeros","Fosiles"
"1849","Dacia","M",898,89.67,66,6.26,142,4528,1762,1591,1608,5,"C",NA,NA,"Ligeros","Fosiles"
